Benchmark,Prefetcher,File,IPC,Instructions,L1D_Load_Miss,L1D_Load_Access,L1D_RFO_Miss,L1D_RFO_Access,L1D_Total_Miss,L1D_Total_Access,Prefetch_Issued,Prefetch_Useful,Prefetch_Level,LLC_Total_Access,L1D_MPKI,LLC_APKI,Baseline_IPC,Speedup,Baseline_L1D_Miss,Coverage,Accuracy
605.mcf_s-1554B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-1554B.champsimtrace.xz,0.638586,200000000.0,3540143.0,64899485.0,401182.0,10279331.0,33972479.0,188398224.0,365838055.0,27218365.0,L1D,41555069.0,169.862395,207.775345,0.638586,1.0,33972479.0,0.0,
602.gcc_s-1850B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-1850B.champsimtrace.xz,0.432194,200000000.0,509675.0,38743427.0,804.0,17263548.0,5612782.0,69673638.0,27557790.0,4210214.0,L1D,3684870.0,28.06391,18.42435,0.433319,0.997404,4581545.0,0.918951,0.152778
605.mcf_s-782B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-782B.champsimtrace.xz,0.175141,200000001.0,25812612.0,41273503.0,57153.0,3338172.0,50996765.0,72281524.0,67535768.0,5380503.0,L1D,43861220.0,254.983824,219.306099,0.228969,0.764911,30961052.0,0.173783,0.079669
602.gcc_s-2226B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-2226B.champsimtrace.xz,0.397861,200000000.0,751720.0,33380365.0,586.0,2659689.0,15340296.0,55637443.0,39884996.0,13322125.0,L1D,14654415.0,76.70148,73.272075,0.40238,0.988769,14457715.0,0.921454,0.334013
607.cactuBSSN_s-2421B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-2421B.champsimtrace.xz,0.906488,200000003.0,21686476.0,34850085.0,1619592.0,22642121.0,25402614.0,59656331.0,4501490.0,1531.0,L1D,2319761.0,127.013068,11.598805,0.796556,1.138009,23253038.0,6.6e-05,0.00034
603.bwaves_s-1740B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-1740B.champsimtrace.xz,1.04192,200000001.0,197499.0,66547084.0,97449.0,11184875.0,4014826.0,142808083.0,134148711.0,3703421.0,L1D,3905589.0,20.07413,19.527945,1.04595,0.996147,3998457.0,0.926213,0.027607
607.cactuBSSN_s-4004B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-4004B.champsimtrace.xz,0.888045,200000002.0,13791732.0,62838699.0,1229337.0,16027044.0,16056307.0,80137679.0,2562198.0,34473.0,L1D,1190710.0,80.281534,5.95355,0.855849,1.037619,14719685.0,0.002342,0.013454
603.bwaves_s-2931B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-2931B.champsimtrace.xz,1.19976,200000002.0,122141.0,38406700.0,1262404.0,33482338.0,3409919.0,83408122.0,23039140.0,2014240.0,L1D,4220377.0,17.049595,21.101885,1.20545,0.99528,4676646.0,0.430702,0.087427
623.xalancbmk_s-165B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-165B.champsimtrace.xz,0.876332,200000001.0,186433.0,30947977.0,2370.0,2954749.0,4410755.0,41749894.0,15855404.0,3814392.0,L1D,3485540.0,22.053775,17.4277,0.876206,1.000144,4256797.0,0.896071,0.240574
605.mcf_s-1152B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-1152B.champsimtrace.xz,0.257025,200000000.0,11410125.0,48727022.0,606703.0,16662126.0,24058906.0,83769362.0,41430074.0,2536389.0,L1D,18987388.0,120.29453,94.93694,0.293475,0.875799,13968213.0,0.181583,0.061221
623.xalancbmk_s-202B,IPCP,hashed_perceptron-no-ipcp_isca2020-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-202B.champsimtrace.xz,0.912512,200000000.0,218001.0,32924097.0,0.0,3538725.0,5452267.0,43821126.0,14940772.0,4803039.0,L1D,5364520.0,27.261335,26.8226,0.882299,1.034243,5173860.0,0.928328,0.321472
603.bwaves_s-1740B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-1740B.champsimtrace.xz,1.03996,200000001.0,326925.0,67467217.0,97449.0,11197341.0,3998567.0,82238751.0,7259846.0,3573993.0,L1D,3905582.0,19.992835,19.52791,1.04595,0.994273,3998457.0,0.893843,0.492296
607.cactuBSSN_s-4004B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-4004B.champsimtrace.xz,0.932338,200000002.0,13501334.0,62935729.0,1215040.0,16030856.0,15126116.0,79379838.0,826570.0,13432.0,L1D,1200788.0,75.630579,6.00394,0.855849,1.089372,14719685.0,0.000913,0.01625
603.bwaves_s-2931B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-2931B.champsimtrace.xz,1.19592,200000002.0,632791.0,37792803.0,1256034.0,33485434.0,3395175.0,72784587.0,3012754.0,1504231.0,L1D,4218596.0,16.975875,21.09298,1.20545,0.992094,4676646.0,0.321647,0.499288
623.xalancbmk_s-165B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-165B.champsimtrace.xz,0.871181,200000001.0,1180923.0,29708185.0,4274.0,2954189.0,4266769.0,35744040.0,6639877.0,2806719.0,L1D,3456063.0,21.333845,17.280315,0.876206,0.994265,4256797.0,0.65935,0.422706
605.mcf_s-1152B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-1152B.champsimtrace.xz,0.24027,200000000.0,11367869.0,48769502.0,624964.0,16584756.0,29145733.0,82529298.0,39761378.0,2478877.0,L1D,26749162.0,145.728665,133.74581,0.293475,0.818707,13968213.0,0.177466,0.062344
623.xalancbmk_s-202B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-202B.champsimtrace.xz,0.858808,200000000.0,998379.0,31226119.0,0.0,3538725.0,5365863.0,39132328.0,9465982.0,4022597.0,L1D,5288646.0,26.829315,26.44323,0.882299,0.973375,5173860.0,0.777485,0.424953
605.mcf_s-1554B,MLOP,hashed_perceptron-no-mlop_dpc3-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-1554B.champsimtrace.xz,0.425116,200000000.0,10502021.0,64533504.0,413136.0,9849724.0,37501515.0,100977866.0,97258932.0,20254280.0,L1D,39879051.0,187.507575,199.395255,0.638586,0.665715,33972479.0,0.596197,0.208251
602.gcc_s-1850B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-1850B.champsimtrace.xz,0.252446,200000000.0,4802136.0,37699682.0,1605.0,17263548.0,4803741.0,54963230.0,0.0,0.0,None,3570763.0,24.018705,17.853815,0.433319,0.582587,4581545.0,0.0,0.0
605.mcf_s-782B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-782B.champsimtrace.xz,0.174489,200000001.0,30889586.0,40752094.0,60517.0,3359777.0,30950103.0,44111871.0,0.0,0.0,None,24055574.0,154.750514,120.277869,0.228969,0.762064,30961052.0,0.0,0.0
602.gcc_s-2226B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-2226B.champsimtrace.xz,0.09958,200000000.0,13990409.0,28402243.0,5493.0,2663017.0,13995902.0,31065260.0,0.0,0.0,None,14071573.0,69.97951,70.357865,0.40238,0.247477,14457715.0,0.0,0.0
607.cactuBSSN_s-2421B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-2421B.champsimtrace.xz,0.796483,200000003.0,21638003.0,34927543.0,1608332.0,22658352.0,23246335.0,57585895.0,0.0,0.0,None,2420070.0,116.231673,12.10035,0.796556,0.999908,23253038.0,0.0,0.0
603.bwaves_s-1740B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-1740B.champsimtrace.xz,0.665081,200000001.0,3900918.0,57285224.0,97449.0,11190829.0,3998367.0,68476053.0,0.0,0.0,None,3905583.0,19.991835,19.527915,1.04595,0.635863,3998457.0,0.0,0.0
607.cactuBSSN_s-4004B,Berti,hashed_perceptron-no-no-berti-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-4004B.champsimtrace.xz,0.853674,200000002.0,13481492.0,62709117.0,1212965.0,16023850.0,14694457.0,78732967.0,0.0,0.0,None,1157800.0,73.472284,5.789,0.855849,0.997459,14719685.0,0.0,0.0
